Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
11,tt0340377,2017-12-10,2017-12-10,"Peter Dinklage as Finbar McBride:
""It's funny how people see me and treat me, since I'm really just a simple, boring person.""",The Station Agent,https://www.imdb.com/title/tt0340377/,movie,7.6,89,2003,"Comedy, Drama",72548,2003-01-26,Tom McCarthy
12,tt0393109,2017-12-10,2017-12-10,"Joseph Gordon-Levitt as Brendan Frye:
[in flashback] ""You're the only thing I love! You're the only thing I love.""",Brick,https://www.imdb.com/title/tt0393109/,movie,7.2,110,2005,"Crime, Drama, Mystery, Thriller",109143,2005-01-31,Rian Johnson
13,tt0412019,2017-12-10,2017-12-10,"Bill Murray as Don Johnston.

The Kid: ""So, as just a guy who gave another guy a sandwich, you have, like, any philosophical tips or anything, for a guy on a-kind-of road trip?""
Don Johnston: ""You asking me?""
The Kid: ""Yeah.""
Don Johnston: ""Well, the past is gone, I know that. The future, isn't here yet, whatever it's going to be. So, all there is, is, is this. The present. That's it.""
The Kid: ""Are you a Buddhist?""",Broken Flowers,https://www.imdb.com/title/tt0412019/,movie,7.1,106,2005,"Comedy, Drama, Mystery, Romance",105831,2005-05-17,Jim Jarmusch
14,tt1798709,2017-12-10,2017-12-10,"Joaquin Phoenix as Theodore.

Samantha: ""You know, I can feel the fear that you carry around and I wish there was... something I could do to help you let go of it because if you could, I don't think you'd feel so alone anymore.""
Theodore: ""You're beautiful.""
Samantha: ""Thank you, Theodore.""",Her,https://www.imdb.com/title/tt1798709/,movie,8.0,126,2013,"Drama, Romance, Sci-Fi",652108,2013-10-12,Spike Jonze
15,tt0805564,2017-12-10,2017-12-10,"Ryan Gosling as Lars Lindstrom:
[to Bianca, after she is given flowers]
""Those are nice, huh? And they're not real, so they'll last forever.""",Lars and the Real Girl,https://www.imdb.com/title/tt0805564/,movie,7.3,106,2007,"Comedy, Drama, Romance",152367,2007-09-16,Craig Gillespie
16,tt0162222,2017-12-10,2017-12-10,"Tom Hanks as Chuck Noland:
""We live and die by time. And we must not commit the sin of losing our track of time.""",Cast Away,https://www.imdb.com/title/tt0162222/,movie,7.8,143,2000,"Adventure, Drama, Romance",624204,2000-12-07,Robert Zemeckis
17,tt0113277,2017-12-10,2017-12-10,"Robert De Niro as Neil McCauley:
""I don't even know what I'm doing anymore. I know life is short, whatever time you get is luck. You want to walk? You walk right now. Or on your own... on your own you choose to come with me. And all I know is... all I know is there's no point in me going anywhere anymore if it's going to be alone... without you.""",Heat,https://www.imdb.com/title/tt0113277/,movie,8.3,170,1995,"Action, Crime, Drama",699207,1995-12-06,Michael Mann
18,tt3680410,2017-12-10,2017-12-10,"Michael Caton as Rex.

""To live your life, you've got to learn to share it first...""",Last Cab to Darwin,https://www.imdb.com/title/tt3680410/,movie,7.2,123,2015,"Adventure, Comedy, Drama, Romance",4113,2015-06-06,Jeremy Sims
19,tt0080365,2022-12-09,2022-12-09,"Richard Gere as Julian Kaye.
""I don't like playing the same numbers too often. They get possessive. I can't be possessed.""
______________

Michelle Stratton: ""Where are you from?""
Julian Kaye: I don't know. I'm not from anywhere. I'm from this bed. Anything worth knowing about me you can learn from letting me make love to you.
Michelle Stratton: ""That's not true.""",American Gigolo,https://www.imdb.com/title/tt0080365/,movie,6.3,117,1980,"Crime, Drama, Mystery, Romance, Thriller",28662,1980-02-01,Paul Schrader
20,tt0053168,2017-12-10,2022-11-23,"Martin LaSalle as Michel:
""Oh, Jeanne, to reach you at last, what a strange path I had to take.""",Pickpocket,https://www.imdb.com/title/tt0053168/,movie,7.6,76,1959,"Crime, Drama",24593,1959-12-16,Robert Bresson
21,tt0268978,2017-12-10,2017-12-10,"Russell Crowe as John Nash:
""I've made the most important discovery of my life. It's only in the mysterious equation of love that any logic or reasons can be found. I'm only here tonight because of you. You are the only reason I am... you are all my reasons.""",A Beautiful Mind,https://www.imdb.com/title/tt0268978/,movie,8.2,135,2001,"Biography, Drama",968552,2001-12-13,Ron Howard
22,tt0780504,2017-12-10,2022-11-17,"Ryan Gosling as Driver:
[On the phone with Irene] ""Can I talk to you? I won't keep you long. I have to go somewhere and I don't think I can come back. But I just wanted you to know. Getting to be around you and Benicio was the best thing that ever happened to me."" ",Drive,https://www.imdb.com/title/tt0780504/,movie,7.8,100,2011,"Action, Drama",687217,2011-05-20,Nicolas Winding Refn
23,tt0077474,2017-12-10,2017-12-10,"Ryan O'Neal as 'The Driver'.

The Detective: ""A friend of yours told me where to find you in the middle of the day.""
The Driver: ""I don't have any friends.""
The Detective: ""That's right. No friends. No steady job. No girlfriend. You live real cheap, you never ask any questions... boy, you got it down real tight. So tight that there's no room for anything else. And that's a real sad song. Only trouble is, eh, sad songs ain't sellin' this year. Maybe I'm your friend.""",The Driver,https://www.imdb.com/title/tt0077474/,movie,7.1,91,1978,"Action, Crime, Thriller",18769,1978-06-08,Walter Hill
24,tt0083190,2017-12-10,2017-12-26,"James Caan as Frank.

Joe Gags: ""Look, uh, these people wanna meet you.""
Frank: ""What?""
Joe Gags: ""They're stand-up guys.""
Frank: ""If I wanna meet people, I'll go to a f*ckin' country club.""",Thief,https://www.imdb.com/title/tt0083190/,movie,7.4,123,1981,"Action, Crime, Drama, Thriller",37172,1981-03-27,Michael Mann
25,tt0034583,2017-12-10,2017-12-10,"Humphrey Bogart as Rick Blaine:
""Of all the gin joints, in all the towns, in all the world, she walks into mine.""",Casablanca,https://www.imdb.com/title/tt0034583/,movie,8.5,102,1942,"Drama, Romance, War",595157,1942-11-26,Michael Curtiz
26,tt0043265,2018-08-30,2018-08-30,"Humphrey Bogart as Charlie Allnut:
""It's a great thing to have a lady aboard with clean habits. It sets the man a good example. A man alone, he gets to living like a hog.""",The African Queen,https://www.imdb.com/title/tt0043265/,movie,7.7,105,1951,"Adventure, Drama, Romance, War",82737,1951-12-26,John Huston
27,tt0420260,2018-05-07,2018-05-12,"Issei Ogata as Tony Takitani, Shozaburo Takitani.

Haruki Murakami (Author): ""There was something odd for him about not feeling lonely. The very fact that he had ceased to be lonely caused him to fear the possibility of becoming lonely again.""",Tonî Takitani,https://www.imdb.com/title/tt0420260/,movie,7.2,75,2004,Drama,4827,2004-08-11,Jun Ichikawa
28,tt3168230,2017-12-10,2017-12-10,"Ian McKellen as Sherlock Holmes.

Sherlock Holmes: ""I have been alone. All my life. But with the compensations of the intellect.""
Ann Kelmot: ""And is that enough?""
Sherlock Holmes: ""It can be. If one is so fortunate as to find a place in the world. And another soul with whom one's loneliness can reside.""",Mr. Holmes,https://www.imdb.com/title/tt3168230/,movie,6.8,104,2015,"Crime, Drama, Family, Mystery, Thriller",66704,2015-02-08,Bill Condon
29,tt0101912,2021-03-10,2021-03-10,"Al Pacino as Johnny & Michelle Pfeiffer as Frankie.

Johnny: ""You don't have to be afraid anymore.
Frankie: ""I am. I'm afraid. I'm afraid to be alone, I'm afraid not to be alone. I'm afraid of what I am, what I'm not, what I might become, what I might never become. I don't want to stay at my job for the rest of my life but I'm afraid to leave. And I'm just tired, you know, I'm just so tired of being afraid.""

Frankie: ""Why do you want to kill yourself sometimes?""

Johnny: ""I want to kill myself sometimes when I think that I'm the only person in the world and that part of me that feels that way is trapped inside this body, that only bumps into other bodies, without ever connecting to the only other person in the world trapped inside of them. We have to connect. We just have to.""",Frankie and Johnny,https://www.imdb.com/title/tt0101912/,movie,6.7,118,1991,"Comedy, Drama, Romance",33578,1991-10-11,Garry Marshall
30,tt0175880,2017-12-10,2017-12-10,"Melora Walters as Claudia Wilson Gator & John C. Reilly as Officer Jim Kurring:
[To Claudia] ""I can't let this go. I can't let you go. Now, you... you listen to me now. You're a good person. You're a good and beautiful person and I won't let you walk out on me. And I won't let you say those things - those things about how stupid you are and this and that. I won't stand for that. You want to be with me... then you be with me. You see?""
[Claudia smiles]",Magnolia,https://www.imdb.com/title/tt0175880/,movie,8.0,188,1999,Drama,324146,1999-12-08,Paul Thomas Anderson
31,tt0071315,2017-12-10,2017-12-10,"Jack Nicholson as J.J. 'Jake' Gittes.

Ida Sessions: ""Are you alone?""
Jake Gittes: ""Isn't everybody?""",Chinatown,https://www.imdb.com/title/tt0071315/,movie,8.2,130,1974,"Drama, Mystery, Thriller",342267,1974-06-19,Roman Polanski
32,tt0257360,2017-12-10,2017-12-10,"Jack Nicholson as Warren Schmidt:
""Relatively soon, I will die. Maybe in 20 years, maybe tomorrow, it doesn't matter. Once I am dead and everyone who knew me dies too, it will be as though I never existed. What difference has my life made to anyone. None that I can think of. None at all.""",About Schmidt,https://www.imdb.com/title/tt0257360/,movie,7.2,125,2002,Drama,131997,2002-05-22,Alexander Payne
33,tt1135092,2017-12-10,2017-12-10,"Isaach De Bankolé as the Lone Man.

Creole: ""He who thinks he's bigger than the rest must go to the cemetery. There he will see what life really is... a handful of dust.""",The Limits of Control,https://www.imdb.com/title/tt1135092/,movie,6.2,116,2009,"Crime, Drama, Mystery, Thriller",21049,2009-05-01,Jim Jarmusch
34,tt0087803,2017-12-10,2017-12-10,"John Hurt as Winston Smith:
""Does Big Brother even exist?""
O'Brien: ""Of course he exists.""
Winston Smith: ""No, I mean... does he exist like you or me?""
O'Brien: ""You do not exist.""",Nineteen Eighty-Four,https://www.imdb.com/title/tt0087803/,movie,7.1,113,1984,"Drama, Sci-Fi",77133,1984-10-10,Michael Radford
35,tt0169547,2017-12-10,2017-12-10,"Kevin Spacey as Lester Burnham:
""My name is Lester Burnham. This is my neighborhood; this is my street; this is my life. I am 42 years old; in less than a year I will be dead. Of course I don't know that yet, and in a way, I am dead already.""",American Beauty,https://www.imdb.com/title/tt0169547/,movie,8.3,122,1999,Drama,1192042,1999-09-08,Sam Mendes
36,tt1193138,2017-12-10,2017-12-10,"George Clooney as Ryan Bingham:
""Starting when I was 12, we moved each one of my grandparents into a nursing facility. My parents went the same way. Make no mistake, we all die alone.""",Up in the Air,https://www.imdb.com/title/tt1193138/,movie,7.4,109,2009,"Comedy, Drama, Romance",346115,2009-09-05,Jason Reitman
37,tt0033467,2017-12-10,2017-12-10,"Orson Welles as Charles Foster Kane.

Susan: ""I don't know many people.""
Charles Foster Kane: ""I know too many people. I guess we're both lonely.""",Citizen Kane,https://www.imdb.com/title/tt0033467/,movie,8.3,119,1941,"Drama, Mystery",458585,1941-05-01,Orson Welles
38,tt0760311,2017-12-10,2017-12-10,"Christian Slater as Bob Maconel:
""You may ask why I did what I did. But what choice did you give me? How else could I get your attention? All I wanted to do is exist in your world. Just one person, would take time to actually see me. Help me find a way out.""",He Was a Quiet Man,https://www.imdb.com/title/tt0760311/,movie,6.7,100,2007,"Drama, Romance, Thriller",23057,2007-03-11,Frank A. Cappello
39,tt0107048,2017-12-10,2017-12-10,"Bill Murray as Phil Connors:
""You want a prediction about the weather, you're asking the wrong Phil. I'll give you a winter prediction: It's gonna be cold, it's gonna be grey, and it's gonna last you for the rest of your life.""",Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Drama, Fantasy, Romance",667156,1993-02-02,Harold Ramis
40,tt1907668,2017-12-10,2017-12-10,"Denzel Washington as Whip Whitaker.

Hugh Lang: ""I'm trying to save your life!""
Whip Whitaker: ""What life?""",Flight,https://www.imdb.com/title/tt1907668/,movie,7.3,138,2012,"Drama, Thriller",370191,2012-10-14,Robert Zemeckis
41,tt0067992,2017-12-10,2017-12-10,"Gene Wilder as Willy Wonka:
""I can't go on forever, and I don't really want to try. So who can I trust to run the factory when I leave and take care of the Oompa Loompas for me? Not a grown up. A grown up would want to do everything his own way, not mine. So that's why I decided a long time ago that I had to find a child. A very honest, loving child, to whom I could tell all my precious candy making secrets.""",Willy Wonka & the Chocolate Factory,https://www.imdb.com/title/tt0067992/,movie,7.8,100,1971,"Family, Fantasy, Musical",215751,1971-06-28,Mel Stuart
42,tt0074486,2017-12-10,2017-12-10,"Jack Nance as Henry Spencer.

Mr. X: ""Well Henry, what do you know?""
Henry Spencer: ""Oh, I don't know much of anything.""",Eraserhead,https://www.imdb.com/title/tt0074486/,movie,7.3,89,1977,"Fantasy, Horror",124344,1977-03-19,David Lynch
43,tt0074811,2017-12-10,2017-12-10,"Roman Polanski as Trelkovsky:
""These days, relationships with neighbors can be... quite complicated. You know, little things that get blown up out of all proportion? You know what I mean?""",Le locataire,https://www.imdb.com/title/tt0074811/,movie,7.6,126,1976,"Drama, Thriller",46676,1976-05-24,Roman Polanski
44,tt0087884,2017-12-10,2017-12-10,"Harry Dean Stanton as Travis Henderson:
""All he wanted to do was... sleep. And for the first time, he wished he were far away. Lost in a deep, vast country where nobody knew him. Somewhere without language, or streets. He dreamed about this place without knowing its name.""","Paris, Texas",https://www.imdb.com/title/tt0087884/,movie,8.1,145,1984,Drama,114464,1984-05-19,Wim Wenders
45,tt1954701,2017-12-10,2017-12-10,"Tom Schilling as Niko Fischer:
""Do you know what it's like... to have the feeling that all the people around you are honestly kind of weird? But when you think it over, then it becomes clear that the problem is with yourself.""",Oh Boy,https://www.imdb.com/title/tt1954701/,movie,7.3,86,2012,"Comedy, Drama",17277,2012-07-03,Jan-Ole Gerster
46,tt2872718,2017-12-10,2017-12-10,"Jake Gyllenhaal as Lou Bloom:
""What if my problem wasn't that I don't understand people but that I don't like them?""",Nightcrawler,https://www.imdb.com/title/tt2872718/,movie,7.8,117,2014,"Crime, Drama, Thriller",587701,2014-09-05,Dan Gilroy
47,tt0469494,2017-12-10,2017-12-10,"Daniel Day-Lewis as Daniel Plainview:
""Well, if it's in me, it's in you. There are times when I look at people and I see nothing worth liking. I want to earn enough money that I can get away from everyone.""",There Will Be Blood,https://www.imdb.com/title/tt0469494/,movie,8.2,158,2007,Drama,624745,2007-09-27,Paul Thomas Anderson
48,tt0119174,2018-05-08,2018-05-08,"Michael Douglas as Nicholas Van Orton:
""You don't know anything about society, Marie; you don't have the satisfaction of avoiding it.""",The Game,https://www.imdb.com/title/tt0119174/,movie,7.7,129,1997,"Drama, Mystery, Thriller",419188,1997-09-03,David Fincher
49,tt0065724,2017-12-10,2022-11-20,"Jack Nicholson as Robert Eroica Dupea:
""I move around a lot, not because I'm looking for anything really, but 'cause I'm getting away from things that get bad if I stay.""",Five Easy Pieces,https://www.imdb.com/title/tt0065724/,movie,7.4,98,1970,Drama,39738,1970-09-11,Bob Rafelson
50,tt0071249,2017-12-10,2017-12-10,"Warren Oates as Bennie:
""I've been no place I wanna go back to, that's for damn sure.""",Bring Me the Head of Alfredo Garcia,https://www.imdb.com/title/tt0071249/,movie,7.4,112,1974,"Action, Crime, Drama, Thriller, Western",21117,1974-08-07,Sam Peckinpah
51,tt1291584,2017-12-10,2017-12-10,"Tom Hardy as Tommy Conlon.

Paddy Conlon: ""I'm really trying here, Tommy.""
Tommy Conlon: ""You're trying? Now? Where were you when it mattered? I needed this guy back when I was a kid. I don't need you now. It's too late now. Everything's already happened. You and Brendan don't seem to understand that. Let me explain something to you: the only thing I have in common with Brendan Conlon is that we have absolutely no use for you.""",Warrior,https://www.imdb.com/title/tt1291584/,movie,8.1,140,2011,"Action, Drama, Sport",490011,2011-09-09,Gavin O'Connor
52,tt0044008,2017-12-10,2018-05-12,"Alastair Sim as Ebenezer Scrooge.

Charles Dickens (Author): ""Oh! But he was a tight-fisted hand at the grindstone, Scrooge! A squeezing, wrenching, grasping, scraping, clutching, covetous, old sinner! Hard and sharp as flint, from which no steel had ever struck out generous fire; secret, and self-contained, and solitary as an oyster.""",Scrooge,https://www.imdb.com/title/tt0044008/,movie,8.1,86,1951,"Drama, Family, Fantasy",24518,1951-10-31,Brian Desmond Hurst
53,tt0330243,2017-12-10,2017-12-10,"Marek Kondrat as Adam Miauczynski (Adas):
""My dear friend on this journey. You built this dark mound to lead the life of a termite. Protected from the sunlight. Closed in your sad rigid rituals. Even if they make you mad, these rituals became your shield against the winds, the waves, against stars and feelings. Every day you struggle to forget your human condition. The clay you are molded from has dried out and hardened. No one will ever find in you an astronomer, musician, altruist, poet or human who lived for even one day.""",Dzien swira,https://www.imdb.com/title/tt0330243/,movie,8.1,93,2002,"Comedy, Drama, Romance",11378,2002-06-07,Marek Koterski
54,tt0106856,2017-12-10,2017-12-10,"Michael Douglas as William 'D-Fens' Foster: [In the Whammy Burger]
""Why am I calling you by your first names? I don't even know you. I still call my boss 'Mister', and I've been working for him for seven years, but all of a sudden I walk in here and I'm calling you Rick and Sheila like we're in some kind of AA meeting... I don't want to be your buddy, Rick. I just want some breakfast.""
Sheila: ""You can call me Miss Folsom if you want.""",Falling Down,https://www.imdb.com/title/tt0106856/,movie,7.6,113,1993,"Action, Crime, Drama, Thriller",201668,1993-02-26,Joel Schumacher
55,tt0048545,2017-12-10,2017-12-10,"James Dean as Jim Stark:
""If I had one day when I didn't have to be all confused and I didn't have to feel that I was ashamed of everything. If I felt that I belonged someplace. You know?""",Rebel Without a Cause,https://www.imdb.com/title/tt0048545/,movie,7.6,111,1955,Drama,96193,1955-10-26,Nicholas Ray
56,tt1723811,2017-12-10,2017-12-10,"Michael Fassbender as Brandon Sullivan.

Sissy Sullivan: ""I'm trying, I'm trying to help you.""
Brandon Sullivan: ""How are you helping me, huh? How are you helping me? How are you helping me? Huh? Look at me. You come in here and you're a weight on me. Do you understand me? You're a burden. You're just dragging me down. How are you helping me? You can't even clean up after yourself. Stop playing the victim.""
Sissy Sullivan: ""I'm not playing the victim. If I left, I would never hear from you again. Don't you think that's sad? Don't you think that's sad? You're my brother.""",Shame,https://www.imdb.com/title/tt1723811/,movie,7.2,101,2011,Drama,203300,2011-09-04,Steve McQueen
57,tt0401792,2017-12-10,2017-12-10,"Mickey Rourke as Marv.

Lucille: ""Prison was hell for you Marv, it's gonna be life this time.""
Marv: ""Hell's waking up every goddamn day and not even knowing why you're here. But I'm out now. It took someone who was kind to me getting killed to do it. But I'm out. And I know exactly what I'm gonna do.""",Sin City,https://www.imdb.com/title/tt0401792/,movie,8.0,124,2005,"Crime, Thriller",786792,2005-03-28,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
58,tt1125849,2017-12-10,2017-12-10,"Mickey Rourke as Randy 'The Ram' Robinson:
""I just want to tell you, I'm the one who was supposed to take care of everything. I'm the one who was supposed to make everything okay for everybody. It just didn't work out like that. And I left. I left you. You never did anything wrong. I used to try to forget about you. I used to try to pretend that you didn't exist, but I can't. You're my girl. You're my little girl. And now, I'm an old broken down piece of meat... and I'm alone. And I deserve to be all alone. I just don't want you to hate me.""",The Wrestler,https://www.imdb.com/title/tt1125849/,movie,7.9,109,2008,"Drama, Sport",316360,2008-09-05,Darren Aronofsky
59,tt13833688,2022-12-12,2022-12-12,"Brendan Fraser as Charlie:
""Who would want me to be part of their life?""",The Whale,https://www.imdb.com/title/tt13833688/,movie,7.7,117,2022,Drama,187951,2022-09-04,Darren Aronofsky
60,tt0055798,2017-12-10,2017-12-10,"Burt Lancaster as Robert Stroud:
""Now, listen to me. Listen carefully. You fought your heart out for me. You fought your heart out for me, but the sun's gone down. And don't look for it to rise again. I want you to pretend that I'm a dead man. I want you to pretend... that you're standin' on my grave.""",Birdman of Alcatraz,https://www.imdb.com/title/tt0055798/,movie,7.8,147,1962,"Biography, Crime, Drama",18820,1962-07-03,John Frankenheimer
61,tt0082340,2017-12-10,2017-12-10,"Kurt Russell as Snake Plissken.

Bob Hauk: ""Remember, once you're inside you're on your own.""
Snake Plissken: ""Oh, you mean I can't count on you?""
Bob Hauk: ""No.""
Snake Plissken: ""Good!""",Escape from New York,https://www.imdb.com/title/tt0082340/,movie,7.1,99,1981,"Action, Adventure, Sci-Fi",153084,1981-04-01,John Carpenter
62,tt0066999,2017-12-10,2017-12-10,Clint Eastwood as Harry Callahan.,Dirty Harry,https://www.imdb.com/title/tt0066999/,movie,7.7,102,1971,"Action, Crime, Thriller",165403,1971-12-21,"Don Siegel, Clint Eastwood"
63,tt0058461,2017-12-10,2017-12-10,"Clint Eastwood as Joe (the 'Man with No Name'):
""Why? I knew someone like you once. There was no one there to help. Now get moving.""",Per un pugno di dollari,https://www.imdb.com/title/tt0058461/,movie,7.9,99,1964,"Action, Drama, Western",227787,1964-09-12,Sergio Leone
64,tt0059578,2017-12-10,2017-12-10,Clint Eastwood as Monco (the 'Man With No Name').,Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,movie,8.2,132,1965,"Drama, Western",268804,1965-12-18,Sergio Leone
65,tt0060196,2017-12-10,2017-12-10,Clint Eastwood as Blondie (the 'Man With No Name').,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/,movie,8.8,161,1966,"Adventure, Western",794442,1966-12-23,Sergio Leone
66,tt0049730,2017-12-10,2017-12-10,"John Wayne as Ethan Edwards:
""Figure a man's only good for one oath at a time; I took mine to the Confederate States of America.""",The Searchers,https://www.imdb.com/title/tt0049730/,movie,7.8,119,1956,"Adventure, Drama, Western",94486,1956-05-16,John Ford
67,tt0068699,2017-12-10,2017-12-10,Clint Eastwood as The Stranger.,High Plains Drifter,https://www.imdb.com/title/tt0068699/,movie,7.4,105,1973,"Drama, Mystery, Western",62286,1973-04-06,Clint Eastwood
68,tt0114898,2022-11-19,2022-11-19,"Kevin Costner as the Mariner.

Enola: ""He doesn't have a name, so death can't find him. He doesn't have a home or people to care for. He's not afraid of anything, men least of all. He's fast and strong like the big wind. He can hear 100 miles and see 100 miles underwater. He can hide in the shadow of the noon sun. He can be right behind you and you won't even know it till you're dead.""",Waterworld,https://www.imdb.com/title/tt0114898/,movie,6.3,135,1995,"Action, Adventure, Sci-Fi",206204,1995-07-28,Kevin Reynolds
69,tt0046303,2017-12-10,2017-12-10,"Alan Ladd as Shane:
""I gotta be going on.""
Joey: ""Why, Shane?""
Shane: ""A man has to be what he is, Joey. Can't break the mould. I tried it and it didn't work for me.""
Joey: ""We want you, Shane.""
Shane: ""Joey, there's no living with... with a killing. There's no going back from one. Right or wrong, it's a brand. A brand sticks. There's no going back. Now you run on home to your mother, and tell her... tell her everything's all right. And there aren't any more guns in the valley.""",Shane,https://www.imdb.com/title/tt0046303/,movie,7.6,118,1953,"Drama, Western",43293,1953-04-23,George Stevens
70,tt0060315,2017-12-10,2017-12-10,"Franco Nero as Django.

Tagline: ""Django, have you always been alone? Django, you must face another day.""",Django,https://www.imdb.com/title/tt0060315/,movie,7.2,91,1966,"Action, Drama, Western",30203,1966-04-06,Sergio Corbucci
71,tt0419677,2017-12-10,2017-12-10,"Paddy Considine as Richard:
""God will forgive them. He'll forgive them and allow them into Heaven. I can't live with that.""",Dead Man's Shoes,https://www.imdb.com/title/tt0419677/,movie,7.6,90,2004,"Crime, Drama, Thriller",56965,2004-08-20,Shane Meadows
72,tt0082694,2017-12-10,2017-12-10,"Mel Gibson as Max Rockatansky.

Pappagallo: ""What is it with you, huh? What are you looking for? C'mon, Max, everybody's looking for something. You're happy out there, are you? Eh? Wandering? One day blurring into another? You're a scavenger, Max. You're a maggot. Did you know that? You're living off the corpse of the old world. Tell me your story, Max. C'mon. Tell me your story. What burned you out, huh? Kill one man too many? See too many people die? Lose some family?""",Mad Max 2,https://www.imdb.com/title/tt0082694/,movie,7.6,96,1981,"Action, Adventure, Sci-Fi, Thriller",189684,1981-12-24,George Miller
73,tt1392190,2017-12-10,2017-12-10,"Tom Hardy as Max Rockatansky:
""I am the one that runs both from the living and the dead. Hunted by scavengers, haunted by those I could not protect. So I exist in this wasteland, reduced to one instinct: survive.""",Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,movie,8.1,120,2015,"Action, Adventure, Sci-Fi, Thriller",1055913,2015-05-07,George Miller
74,tt0085426,2018-05-08,2018-05-08,Pierre Jolivet as 'The Man'.,Le dernier combat,https://www.imdb.com/title/tt0085426/,movie,6.7,92,1983,Sci-Fi,6433,1983-01-31,Luc Besson
